asset_id,category,label,semantic_use,primary_color_token,secondary_color_token,svg,png_preview,license,caution
cell_nucleus,cellular,Cell + nucleus,"single-cell, sample, cellular state",bio_green,source_blue,assets/biovis_symbol_pack_v0_1/svg/cell_nucleus.svg,assets/biovis_symbol_pack_v0_1/png/cell_nucleus.png,Original project artwork; repository MIT license.,Do not imply a specific cell type without a label.
mitochondrion,cellular,Mitochondrion,"metabolism, stress response, organelle biology",assay_teal,label_amber,assets/biovis_symbol_pack_v0_1/svg/mitochondrion.svg,assets/biovis_symbol_pack_v0_1/png/mitochondrion.png,Original project artwork; repository MIT license.,"Use as organelle shorthand, not measured microscopy evidence."
organoid_sphere,cellular,Organoid sphere,human organoid or 3D culture extension,model_purple,bio_green,assets/biovis_symbol_pack_v0_1/svg/organoid_sphere.svg,assets/biovis_symbol_pack_v0_1/png/organoid_sphere.png,Original project artwork; repository MIT license.,Pair with source/caveat text for draft organoid tracks.
tissue_section,tissue,Tissue section,bulk tissue or section-level evidence,bio_green,rule,assets/biovis_symbol_pack_v0_1/svg/tissue_section.svg,assets/biovis_symbol_pack_v0_1/png/tissue_section.png,Original project artwork; repository MIT license.,Avoid using as histology proof unless tied to a real image.
epithelium_layer,tissue,Epithelial layer,"barrier tissue, lining, tissue architecture",assay_teal,bio_green,assets/biovis_symbol_pack_v0_1/svg/epithelium_layer.svg,assets/biovis_symbol_pack_v0_1/png/epithelium_layer.png,Original project artwork; repository MIT license.,Generic tissue architecture symbol only.
vascular_slice,tissue,Vascular slice,"vascular, perfusion, cfRNA origin, transport",test_red,source_blue,assets/biovis_symbol_pack_v0_1/svg/vascular_slice.svg,assets/biovis_symbol_pack_v0_1/png/vascular_slice.png,Original project artwork; repository MIT license.,Use red only when vascular/test-boundary semantics are not confused.
dna_helix,molecular,DNA helix,"gene features, sequence-level context",source_blue,model_purple,assets/biovis_symbol_pack_v0_1/svg/dna_helix.svg,assets/biovis_symbol_pack_v0_1/png/dna_helix.png,Original project artwork; repository MIT license.,Do not use for RNA-seq expression unless caption clarifies.
rna_strand,molecular,RNA strand,"RNA-seq, transcript expression, molecular readout",assay_teal,source_blue,assets/biovis_symbol_pack_v0_1/svg/rna_strand.svg,assets/biovis_symbol_pack_v0_1/png/rna_strand.png,Original project artwork; repository MIT license.,Good default for expression assays.
protein_complex,molecular,Protein complex,protein/pathway or proteomics shorthand,label_amber,bio_green,assets/biovis_symbol_pack_v0_1/svg/protein_complex.svg,assets/biovis_symbol_pack_v0_1/png/protein_complex.png,Original project artwork; repository MIT license.,Do not imply direct proteomics unless data support it.
pathway_nodes,molecular,Pathway nodes,"pathway summaries, network biology",bio_green,label_amber,assets/biovis_symbol_pack_v0_1/svg/pathway_nodes.svg,assets/biovis_symbol_pack_v0_1/png/pathway_nodes.png,Original project artwork; repository MIT license.,"Use for summarized programs, not causal pathways by default."
brain_outline,organ,Brain,"neural, brain/organoid interpretation",model_purple,source_blue,assets/biovis_symbol_pack_v0_1/svg/brain_outline.svg,assets/biovis_symbol_pack_v0_1/png/brain_outline.png,Original project artwork; repository MIT license.,Keep distinct from brain organoid unless labeled.
lung_outline,organ,Lung,"respiration, thoracic tissue, spaceflight physiology",assay_teal,source_blue,assets/biovis_symbol_pack_v0_1/svg/lung_outline.svg,assets/biovis_symbol_pack_v0_1/png/lung_outline.png,Original project artwork; repository MIT license.,Generic organ symbol only.
kidney_outline,organ,Kidney,kidney tissue or renal transfer result,bio_green,label_amber,assets/biovis_symbol_pack_v0_1/svg/kidney_outline.svg,assets/biovis_symbol_pack_v0_1/png/kidney_outline.png,Original project artwork; repository MIT license.,Use with tissue labels for specificity.
liver_lobule,organ,Liver lobule,liver/metabolism tissue context,label_amber,test_red,assets/biovis_symbol_pack_v0_1/svg/liver_lobule.svg,assets/biovis_symbol_pack_v0_1/png/liver_lobule.png,Original project artwork; repository MIT license.,Avoid overusing amber/orange as dominant palette.
sample_tube,assay,Sample tube,sample collection or source material,source_blue,assay_teal,assets/biovis_symbol_pack_v0_1/svg/sample_tube.svg,assets/biovis_symbol_pack_v0_1/png/sample_tube.png,Original project artwork; repository MIT license.,"Use as sample symbol, not as a wet-lab protocol claim."
expression_matrix,assay,Expression matrix,"matrix, task input, measured features",muted,model_purple,assets/biovis_symbol_pack_v0_1/svg/expression_matrix.svg,assets/biovis_symbol_pack_v0_1/png/expression_matrix.png,Original project artwork; repository MIT license.,Pair with task/source context so it is not a loose table.
