package_id,task_id,metadata_profile,field_id,field_label,status,current_value,source_artifacts,blocking_gap,notes
osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,datacite_4_7,identifier,Identifier,placeholder,pending_versioned_release_identifier,,versioned_archive_plan,Do not mint or imply a DOI for this draft metadata skeleton.
osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,datacite_4_7,creators,Creators,placeholder,pending_formal_release_creator_list,,formal_license_and_creator_metadata,Creator/order/affiliation metadata must be reviewed before release.
osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,datacite_4_7,title,Title,present,OSD-120 Arabidopsis Root Light Interaction Diagnostic Draft,v9/multispecies/reports/interaction_public_alpha_card/public_alpha_card_summary.csv,,Matches the source-specific public alpha card title.
osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,datacite_4_7,publisher,Publisher,placeholder,SpaceBio-Bench draft package; upstream data NASA OSDR/GeneLab,v9/multispecies/reports/interaction_diagnostic_artifact_manifest/diagnostic_claim_artifact_map.csv,formal_license_and_creator_metadata,Formal publisher/maintainer identity is not frozen.
osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,datacite_4_7,publication_year,Publication Year,present,2026,,,Draft metadata generated in 2026; not a DOI publication year.
osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,datacite_4_7,resource_type,Resource Type,present,Dataset,,,Use dataset-like packaging for the diagnostic evidence bundle.
osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,datacite_4_7,subjects,Subjects,present,space biology|Arabidopsis thaliana|bulk RNA-seq|OSD-120|diagnostic benchmark,v9/multispecies/reports/interaction_public_alpha_card/public_alpha_card_summary.csv,,Subject tags are descriptive and not release claims.
osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,datacite_4_7,related_identifiers,Related Identifiers,partial,https://osdr.nasa.gov/bio/repo/data/studies/OSD-120|https://doi.org/10.1093/nar/gkae1116|https://doi.org/10.1371/journal.pone.0180186|https://www.nature.com/articles/s41526-024-00417-0,v9/multispecies/reports/interaction_diagnostic_artifact_manifest/diagnostic_claim_artifact_map.csv,versioned_archive_plan,Upstream source and literature links exist; local release DOI is pending.
osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,datacite_4_7,rights,Rights,placeholder,pending_local_release_license_review,v9/multispecies/reports/interaction_public_alpha_card/public_alpha_card_summary.csv,formal_license_and_creator_metadata,Do not infer local package licensing from upstream OSDR access alone.
osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,ro_crate_1_2,context,@context,present,https://w3id.org/ro/crate/1.2/context,,,RO-Crate 1.2 JSON-LD context for the future export path.
osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,ro_crate_1_2,root_dataset,Root Dataset,present,./,v9/multispecies/reports/interaction_public_alpha_card/public_alpha_card_summary.csv,,The skeleton can be promoted to a root RO-Crate Dataset later.
osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,ro_crate_1_2,data_entities,Data Entities,present,26 diagnostic artifacts indexed,v9/multispecies/reports/interaction_diagnostic_artifact_manifest/diagnostic_artifact_manifest.csv,,Uses the diagnostic artifact manifest as the file inventory seed.
osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,ro_crate_1_2,contextual_entities,Contextual Entities,partial,NASA OSDR/GeneLab; SpaceBio-Bench draft package,v9/multispecies/reports/interaction_diagnostic_artifact_manifest/diagnostic_claim_artifact_map.csv,formal_license_and_creator_metadata,"Organizations are identified, but formal creators are pending."
osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,ro_crate_1_2,workflow_provenance,Workflow Provenance,present,python3 scripts/rebuild_v9_osd120_diagnostic_package.py --repo-root . --mode preflight,v9/multispecies/reports/interaction_rebuild_gate/rebuild_gate_summary.csv,,Packaging preflight command and hashed outputs are recorded.
osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,huggingface_dataset_card,pretty_name,Pretty Name,present,OSD-120 Arabidopsis Root Light Interaction Diagnostic Draft,v9/multispecies/reports/interaction_public_alpha_card/public_alpha_card_summary.csv,,Ready for README YAML metadata.
osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,huggingface_dataset_card,tags,Tags,present,biology|space-biology|genomics|OSDR|GeneLab|Arabidopsis|tabular|draft,v9/multispecies/reports/interaction_public_alpha_card/public_alpha_card_summary.csv,,Tags aid discovery but do not create release status.
osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,huggingface_dataset_card,license,License,placeholder,other,v9/multispecies/reports/interaction_public_alpha_card/public_alpha_card_summary.csv,formal_license_and_creator_metadata,"Card can say other/pending, but a citable package needs review."
osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,huggingface_dataset_card,task_categories,Task Categories,present,tabular-classification,v9/multispecies/reports/interaction_public_alpha_card/public_alpha_card_summary.csv,,Matches the diagnostic classification task.
osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,osdr_credit,source_citation_credit,OSDR Citation And Credit,partial,Credit NASA OSDR/GeneLab and use the OSDR study citation path for dataset-specific BibTeX/RIS.,v9/multispecies/reports/interaction_public_alpha_card/public_alpha_card_summary.csv|v9/multispecies/reports/interaction_diagnostic_artifact_manifest/diagnostic_claim_artifact_map.csv,source_inventory_release_target,OSDR credit is present; local package citation remains pending.
osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,spacebio_claim_boundary,claim_boundary,Claim Boundary,present,diagnostic_public_metadata_only_not_frozen_benchmark_release,v9/multispecies/reports/interaction_diagnostic_artifact_manifest/diagnostic_claim_artifact_map.csv|v9/multispecies/reports/interaction_public_alpha_card/public_alpha_card_summary.csv,,"Prevents full mirror, LOMO, biomarker, operational, and frozen-release claims."
