slide_number,title,section,claim,asset_status,source_asset
1,SpaceBio-Bench,Opening,Mission-held-out benchmark platform thesis.,new title visual,
2,External gap,Opening,Distinct niche without claiming first AI benchmark.,new positioning matrix,
3,Project evolution,Opening,v1-v9 timeline from analysis to platform.,new timeline,
4,Evaluation layer,Core methods,Public studies become auditable tasks.,B1/B2 compressed,output/premium_bridge_scenes/b1_evaluation_layer/rendered_preview.png
5,Mission-held-out guard,Core methods,A whole mission is held out; processing stays train-only.,B3/B4 compressed,output/premium_bridge_rebuild_scenes/b3_mission_held_out_premium/rendered_preview.png
6,Feature layers,Core methods,Genes versus pathway summaries before results.,needed bridge,
7,Tissue hierarchy,v1-v7 results,Cross-mission transfer is tissue-specific.,existing premium scene,output/premium_slide_scenes/fig1_tissue_transfer_layered_scene.png
8,Pathway rescue,v1-v7 results,Pathway abstraction can rescue selected weak tasks.,existing premium scene,output/premium_slide_scenes/fig2_pathway_layered_scene.png
9,Model comparison,v1-v7 results,Scale alone does not solve transfer.,existing premium scene,output/premium_slide_scenes/fig3_model_tier_layered_scene.png
10,v4 hardening,v1-v7 results,Broader tissue/method grid reduces cherry-pick risk.,needs static export,
11,Temporal and RRRM lessons,v1-v7 results,"Recovery, preservation, and single-cell lessons.",needs static export,
12,Negative results,v1-v7 results,Failure modes are part of benchmark value.,needs static export,
13,Biological interpretation,v1-v7 results,"Immune, TF, metabolism, and biomarker interpretation.",needs panel selection,
14,Human translation,v1-v7 results,"Pathway/target evidence, not clean gene transfer.",needs static export,
15,v7.1 boundary,v1-v7 results,Canonical public-safe counts and claim discipline.,release-boundary slide,
16,v8 SpaceMed,v8 incubator,Translation is hypothesis generation only.,existing PNG,v8/figures/Figure1_Species_Transfer.png
17,v8 claim boundary,v8 incubator,No countermeasure recommendation or Mars point claim.,boundary overlay needed,v8/figures/Figure2_Stressor_Decomposition.png
18,v9 platform,v9 platform,"Package, manifests, evaluator, and run records.",existing document scene,output/premium_v9_document_scenes/v9_platform_provenance_document_scene.png
19,Public bulk alpha,v9 platform,"Metadata-ready, payload hashes blocked.",existing document scene,output/premium_v9_document_scenes/v9_public_bulk_boundary_document_scene.png
20,Organoid extension,v9 extension,Source records become local expression matrices.,selected bridge,output/biovis_organoid_audience_matrix_proof_v0_2/panels/01_dark_organoid_clean_source_to_matrix.png
21,Multispecies task check,v9 extension,"OSD-120 is same-study, not mission-held-out.",selected bridge,output/biovis_osd120_audience_split_proof_v0_2/panels/01_dark_osd120_clean_source_to_task.png
22,Single-cell extension,v9 extension,Inventory and metric spec exist; payload blocker remains.,needs blocker visual,
23,Claim boundary,Close,Separate completed results from draft tracks.,needed matrix,
24,Roadmap,Close,"Payload freeze, QA, release, and manuscript plan.",needed roadmap,
