fill_id,decision_id,package_id,task_id,field_id,field_group,target_profile,required_for,current_status_from_gate,current_value,supplied_value,supplied_by,supplied_date,supplied_evidence,fill_status,target_artifacts,validation_rule,blocker_if_missing,next_action,notes
osd120_release_owner_citation_metadata_fill,osd120_archive_identifier_license_decision_gate,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,current_archive_path_decision,archive,RO-Crate|Data Package,current_diagnostic_draft,selected_for_current_draft_only,no_archive_identifier_for_current_draft,,,,,existing_current_draft_value_retained,v9/multispecies/reports/interaction_archive_decision_gate/archive_decision_summary.csv,retain_no_archive_for_current_draft_unless_owner_supplies_release_route,,keep_no_archive_identifier_for_current_draft,This preserves the V9-MULTI-032 diagnostic draft boundary.
osd120_release_owner_citation_metadata_fill,osd120_archive_identifier_license_decision_gate,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,future_archive_identifier,archive,DataCite|RO-Crate|CITATION.cff,citable_release,blocked,no_archive_identifier_for_current_draft,,,,,not_supplied_blocking_release,v9/multispecies/reports/interaction_ro_crate_citation_scaffold/ro-crate-metadata.draft.json|v9/multispecies/reports/interaction_ro_crate_citation_scaffold/datapackage.draft.json,owner_supplied_doi_url_or_other_identifier_required,versioned_archive_plan,supply DOI/URL/SWHID or keep no-archive draft status,Do not mint or infer an identifier from repository state.
osd120_release_owner_citation_metadata_fill,osd120_archive_identifier_license_decision_gate,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,release_version_string,version,DataCite|RO-Crate|CITATION.cff|Data Package,citable_release,blocked,draft-v9-osd120-diagnostic-alpha-unreleased,,,,,not_supplied_blocking_release,v9/multispecies/reports/interaction_archive_decision_gate/creator_contributor_decision_table.csv|v9/multispecies/reports/interaction_ro_crate_citation_scaffold/ro-crate-metadata.draft.json,owner_supplied_release_tag_required,versioned_archive_plan,supply release tag only after archive route approval,Draft internal strings are not citable release versions.
osd120_release_owner_citation_metadata_fill,osd120_archive_identifier_license_decision_gate,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,release_date,version,CITATION.cff|DataCite,citable_release,blocked,not_supplied,,,,,not_supplied_blocking_release,v9/multispecies/reports/interaction_ro_crate_citation_scaffold/ro-crate-metadata.draft.json,owner_supplied_iso_8601_date_required,versioned_archive_plan,supply release date after release tag is approved,Do not use build date or current date as release date.
osd120_release_owner_citation_metadata_fill,osd120_archive_identifier_license_decision_gate,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,publication_year,version,DataCite,citable_release,blocked,not_supplied,,,,,not_supplied_blocking_release,v9/multispecies/reports/interaction_ro_crate_citation_scaffold/ro-crate-metadata.draft.json,owner_supplied_publication_year_required,versioned_archive_plan,derive only from owner-approved release/publication date,DataCite publication year should not be guessed.
osd120_release_owner_citation_metadata_fill,osd120_archive_identifier_license_decision_gate,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,package_title,citation,DataCite|RO-Crate|CITATION.cff|Data Package,current_diagnostic_draft,selected_for_current_draft,OSD-120 Arabidopsis Root Light Interaction Diagnostic Draft,,,,,existing_current_draft_value_retained,v9/multispecies/reports/interaction_archive_decision_gate/creator_contributor_decision_table.csv|v9/multispecies/reports/interaction_ro_crate_citation_scaffold/ro-crate-metadata.draft.json,retain_existing_title_or_owner_supplied_replacement,,reuse stable draft title unless scope changes,This is safe for display but not enough for archive release.
osd120_release_owner_citation_metadata_fill,osd120_archive_identifier_license_decision_gate,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,local_package_creators,creator,DataCite|RO-Crate|CITATION.cff,citable_release,blocked,pending_formal_release_creator_list,,,,,not_supplied_blocking_release,v9/multispecies/reports/interaction_archive_decision_gate/creator_contributor_decision_table.csv|v9/multispecies/reports/interaction_ro_crate_citation_scaffold/ro-crate-metadata.draft.json,owner_supplied_ordered_creator_list_required,formal_license_and_creator_metadata,"freeze creator names, order, affiliations, and ORCIDs if available",Authorship and creator order must not be inferred from commits.
osd120_release_owner_citation_metadata_fill,osd120_archive_identifier_license_decision_gate,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,local_package_contributors,creator,DataCite|RO-Crate,citable_release,blocked,contributor_roles_pending,,,,,not_supplied_blocking_release,v9/multispecies/reports/interaction_archive_decision_gate/creator_contributor_decision_table.csv|v9/multispecies/reports/interaction_ro_crate_citation_scaffold/ro-crate-metadata.draft.json,owner_supplied_contributor_role_list_required,formal_license_and_creator_metadata,assign contributor roles and separate upstream source from local packager,Contributor role semantics need release-owner review.
osd120_release_owner_citation_metadata_fill,osd120_archive_identifier_license_decision_gate,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,publisher_maintainer_identity,creator,DataCite|RO-Crate,citable_release,blocked,SpaceBio-Bench draft package; formal publisher not frozen,,,,,not_supplied_blocking_release,v9/multispecies/reports/interaction_archive_decision_gate/creator_contributor_decision_table.csv|v9/multispecies/reports/interaction_ro_crate_citation_scaffold/ro-crate-metadata.draft.json,owner_supplied_publisher_or_maintainer_required,formal_license_and_creator_metadata,choose publisher or maintainer identity for citable metadata,DataCite publisher must be explicit.
osd120_release_owner_citation_metadata_fill,osd120_archive_identifier_license_decision_gate,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,local_code_license,rights,SPDX|RO-Crate|Data Package|GitHub release,citable_release,blocked,pending_local_release_license_review,,,,,not_supplied_blocking_release,v9/multispecies/reports/interaction_archive_decision_gate/license_rights_decision_table.csv|v9/multispecies/reports/interaction_ro_crate_citation_scaffold/datapackage.draft.json,spdx_identifier_or_explicit_custom_terms_required,formal_license_and_creator_metadata,choose code license and add or verify license file,GitHub/Zenodo release guidance expects repository reuse terms.
osd120_release_owner_citation_metadata_fill,osd120_archive_identifier_license_decision_gate,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,local_metadata_tables_license,rights,SPDX|RO-Crate|Data Package,citable_release,blocked,pending_local_release_license_review,,,,,not_supplied_blocking_release,v9/multispecies/reports/interaction_archive_decision_gate/license_rights_decision_table.csv|v9/multispecies/reports/interaction_ro_crate_citation_scaffold/datapackage.draft.json,data_or_metadata_license_scope_required,formal_license_and_creator_metadata,choose metadata/table license and state scope,Code license and generated metadata license may differ.
osd120_release_owner_citation_metadata_fill,osd120_archive_identifier_license_decision_gate,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,upstream_osdr_dataset_citation,source_credit,RO-Crate|Data Package|dataset card,source_alpha_package,needs_review,OSDR credit present; exact study citation pending,,,,,not_supplied_blocking_release,v9/multispecies/reports/interaction_archive_decision_gate/creator_contributor_decision_table.csv,osdr_study_page_bibtex_or_ris_citation_required,source_inventory_release_target,export exact OSDR study citation from the OSDR study page,Use OSDR study-page citation text rather than hand-written citation.
osd120_release_owner_citation_metadata_fill,osd120_archive_identifier_license_decision_gate,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,upstream_osdr_acknowledgement_text,source_credit,dataset card|README,source_alpha_package,needs_review,Data are courtesy of the NASA Open Science Data Repository,,,,,existing_current_draft_value_retained,v9/multispecies/reports/interaction_archive_decision_gate/creator_contributor_decision_table.csv,owner_reviewed_osdr_credit_text_required_before_release,,retain OSDR credit and review exact wording before release,Generic acknowledgement is useful context but not a substitute for study citation.
osd120_release_owner_citation_metadata_fill,osd120_archive_identifier_license_decision_gate,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,repository_url,citation,CITATION.cff|GitHub release,citable_release,blocked,not_supplied,,,,,not_supplied_blocking_release,v9/multispecies/reports/interaction_ro_crate_citation_scaffold/ro-crate-metadata.draft.json,owner_supplied_public_repository_url_required,repository_public_and_owner_access_unconfirmed,supply public repository URL if using GitHub/Zenodo or CITATION.cff,Do not assume the current local checkout is the release repository.
osd120_release_owner_citation_metadata_fill,osd120_archive_identifier_license_decision_gate,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,citation_cff_type,citation,CITATION.cff,citable_release,blocked,not_supplied,,,,,not_supplied_blocking_release,v9/multispecies/reports/interaction_ro_crate_citation_scaffold/ro-crate-metadata.draft.json,owner_supplied_cff_type_dataset_or_software_required,formal_license_and_creator_metadata,"decide whether CITATION.cff describes data, software, or preferred citation",GitHub supports software citations and preferred-citation overrides.
osd120_release_owner_citation_metadata_fill,osd120_archive_identifier_license_decision_gate,osd120_diagnostic_public_metadata_package,draft_osd120_arabidopsis_root_light_interaction_spaceflight,payload_mirror_rights_review,rights,RO-Crate|Data Package,full_payload_mirror_release,blocked,full_osdr_payload_mirror_not_claimed,,,,,existing_current_draft_value_retained,v9/multispecies/reports/interaction_archive_decision_gate/license_rights_decision_table.csv,retain_no_payload_mirror_unless_rights_review_supplied,,keep full payload mirror out of current archive scope,Current diagnostic package does not archive a full OSDR payload mirror.
