task_id,fold_id,test_mission,train_missions,n_train,n_test,train_y_rows,test_y_rows,selected_gene_count,fold_dir,train_X,test_X
A1_liver_bulk_lomo,fold_MHU-2_test,MHU-2,RR-1;RR-3;RR-6;RR-8;RR-9,187,6,187,6,17240,tasks/A1_liver_lomo/fold_MHU-2_test,tasks/A1_liver_lomo/fold_MHU-2_test/train_X.csv,tasks/A1_liver_lomo/fold_MHU-2_test/test_X.csv
A1_liver_bulk_lomo,fold_RR-1_test,RR-1,MHU-2;RR-3;RR-6;RR-8;RR-9,179,14,179,14,17240,tasks/A1_liver_lomo/fold_RR-1_test,tasks/A1_liver_lomo/fold_RR-1_test/train_X.csv,tasks/A1_liver_lomo/fold_RR-1_test/test_X.csv
A1_liver_bulk_lomo,fold_RR-3_test,RR-3,MHU-2;RR-1;RR-6;RR-8;RR-9,181,12,181,12,17240,tasks/A1_liver_lomo/fold_RR-3_test,tasks/A1_liver_lomo/fold_RR-3_test/train_X.csv,tasks/A1_liver_lomo/fold_RR-3_test/test_X.csv
A1_liver_bulk_lomo,fold_RR-6_test,RR-6,MHU-2;RR-1;RR-3;RR-8;RR-9,154,39,154,39,17240,tasks/A1_liver_lomo/fold_RR-6_test,tasks/A1_liver_lomo/fold_RR-6_test/train_X.csv,tasks/A1_liver_lomo/fold_RR-6_test/test_X.csv
A1_liver_bulk_lomo,fold_RR-8_test,RR-8,MHU-2;RR-1;RR-3;RR-6;RR-9,90,103,90,103,17240,tasks/A1_liver_lomo/fold_RR-8_test,tasks/A1_liver_lomo/fold_RR-8_test/train_X.csv,tasks/A1_liver_lomo/fold_RR-8_test/test_X.csv
A1_liver_bulk_lomo,fold_RR-9_test,RR-9,MHU-2;RR-1;RR-3;RR-6;RR-8,174,19,174,19,17240,tasks/A1_liver_lomo/fold_RR-9_test,tasks/A1_liver_lomo/fold_RR-9_test/train_X.csv,tasks/A1_liver_lomo/fold_RR-9_test/test_X.csv
A1_liver_bulk_lomo_combat,fold_MHU-2_test,MHU-2,RR-1;RR-3;RR-6;RR-8;RR-9,187,6,187,6,39689,tasks/A1_liver_lomo_combat/fold_MHU-2_test,tasks/A1_liver_lomo_combat/fold_MHU-2_test/train_X.csv,tasks/A1_liver_lomo_combat/fold_MHU-2_test/test_X.csv
A1_liver_bulk_lomo_combat,fold_RR-1_test,RR-1,MHU-2;RR-3;RR-6;RR-8;RR-9,179,14,179,14,51929,tasks/A1_liver_lomo_combat/fold_RR-1_test,tasks/A1_liver_lomo_combat/fold_RR-1_test/train_X.csv,tasks/A1_liver_lomo_combat/fold_RR-1_test/test_X.csv
A1_liver_bulk_lomo_combat,fold_RR-3_test,RR-3,MHU-2;RR-1;RR-6;RR-8;RR-9,181,12,181,12,39191,tasks/A1_liver_lomo_combat/fold_RR-3_test,tasks/A1_liver_lomo_combat/fold_RR-3_test/train_X.csv,tasks/A1_liver_lomo_combat/fold_RR-3_test/test_X.csv
A1_liver_bulk_lomo_combat,fold_RR-6_test,RR-6,MHU-2;RR-1;RR-3;RR-8;RR-9,154,39,154,39,51929,tasks/A1_liver_lomo_combat/fold_RR-6_test,tasks/A1_liver_lomo_combat/fold_RR-6_test/train_X.csv,tasks/A1_liver_lomo_combat/fold_RR-6_test/test_X.csv
A1_liver_bulk_lomo_combat,fold_RR-8_test,RR-8,MHU-2;RR-1;RR-3;RR-6;RR-9,90,103,90,103,51929,tasks/A1_liver_lomo_combat/fold_RR-8_test,tasks/A1_liver_lomo_combat/fold_RR-8_test/train_X.csv,tasks/A1_liver_lomo_combat/fold_RR-8_test/test_X.csv
A1_liver_bulk_lomo_combat,fold_RR-9_test,RR-9,MHU-2;RR-1;RR-3;RR-6;RR-8,174,19,174,19,51929,tasks/A1_liver_lomo_combat/fold_RR-9_test,tasks/A1_liver_lomo_combat/fold_RR-9_test/train_X.csv,tasks/A1_liver_lomo_combat/fold_RR-9_test/test_X.csv
A1_liver_bulk_lomo_iss_only,fold_RR-1_test,RR-1,RR-3;RR-6;RR-8;RR-9,173,14,173,14,17240,tasks/A1_liver_lomo_iss_only/fold_RR-1_test,tasks/A1_liver_lomo_iss_only/fold_RR-1_test/train_X.csv,tasks/A1_liver_lomo_iss_only/fold_RR-1_test/test_X.csv
A1_liver_bulk_lomo_iss_only,fold_RR-3_test,RR-3,RR-1;RR-6;RR-8;RR-9,175,12,175,12,17240,tasks/A1_liver_lomo_iss_only/fold_RR-3_test,tasks/A1_liver_lomo_iss_only/fold_RR-3_test/train_X.csv,tasks/A1_liver_lomo_iss_only/fold_RR-3_test/test_X.csv
A1_liver_bulk_lomo_iss_only,fold_RR-6_test,RR-6,RR-1;RR-3;RR-8;RR-9,148,39,148,39,17240,tasks/A1_liver_lomo_iss_only/fold_RR-6_test,tasks/A1_liver_lomo_iss_only/fold_RR-6_test/train_X.csv,tasks/A1_liver_lomo_iss_only/fold_RR-6_test/test_X.csv
A1_liver_bulk_lomo_iss_only,fold_RR-8_test,RR-8,RR-1;RR-3;RR-6;RR-9,84,103,84,103,17240,tasks/A1_liver_lomo_iss_only/fold_RR-8_test,tasks/A1_liver_lomo_iss_only/fold_RR-8_test/train_X.csv,tasks/A1_liver_lomo_iss_only/fold_RR-8_test/test_X.csv
A1_liver_bulk_lomo_iss_only,fold_RR-9_test,RR-9,RR-1;RR-3;RR-6;RR-8,168,19,168,19,17240,tasks/A1_liver_lomo_iss_only/fold_RR-9_test,tasks/A1_liver_lomo_iss_only/fold_RR-9_test/train_X.csv,tasks/A1_liver_lomo_iss_only/fold_RR-9_test/test_X.csv
A2_gastrocnemius_bulk_lomo,fold_RR-1_test,RR-1,RR-5;RR-9,20,12,20,12,15760,tasks/A2_gastrocnemius_lomo/fold_RR-1_test,tasks/A2_gastrocnemius_lomo/fold_RR-1_test/train_X.csv,tasks/A2_gastrocnemius_lomo/fold_RR-1_test/test_X.csv
A2_gastrocnemius_bulk_lomo,fold_RR-5_test,RR-5,RR-1;RR-9,20,12,20,12,15760,tasks/A2_gastrocnemius_lomo/fold_RR-5_test,tasks/A2_gastrocnemius_lomo/fold_RR-5_test/train_X.csv,tasks/A2_gastrocnemius_lomo/fold_RR-5_test/test_X.csv
