inventory_id,asset_path,asset_family,asset_class,file_type,exists,bytes,sha256,current_use,promotion_status,notes
v9_sc_001_rrrm_asset_inventory,v2/docs/RRRM1_BENCHMARK_READY_MANIFEST_2026-03-12.csv,RRRM-1,documentation,csv,true,2357,cbf10178359eb25094a0e687409431fc87cc20a781ee5fe9e99c0cb843f37923,"legacy evidence for RRRM scope, samples, QC, and task design",review_for_v9_manifest,"safe to cite as inventory evidence, not as a v9 task manifest"
v9_sc_001_rrrm_asset_inventory,v2/docs/RRRM1_BROAD_ANNOTATION_SUMMARY_2026-03-12.md,RRRM-1,documentation,md,true,2978,a1b35252ebecd56d4a68088d0b2933e2f73e0f95f7d37071a97bb74b7dcdbdd5,"legacy evidence for RRRM scope, samples, QC, and task design",review_for_v9_manifest,"safe to cite as inventory evidence, not as a v9 task manifest"
v9_sc_001_rrrm_asset_inventory,v2/docs/RRRM1_DOWNSTREAM_PLAN_2026-03-11.md,RRRM-1,documentation,md,true,6007,776e0e1c612027a0b210d5e02c6507f123de270bc25a431fb05c314db3f0a527,"legacy evidence for RRRM scope, samples, QC, and task design",review_for_v9_manifest,"safe to cite as inventory evidence, not as a v9 task manifest"
v9_sc_001_rrrm_asset_inventory,v2/docs/RRRM1_NEXT_STEPS_FOR_BENCHMARK_2026-03-12.md,RRRM-1,documentation,md,true,3583,f8724badcebf2ce9ac65dc4aec30e362b1489f7f55db73d723a0b3dfc1759c37,"legacy evidence for RRRM scope, samples, QC, and task design",review_for_v9_manifest,"safe to cite as inventory evidence, not as a v9 task manifest"
v9_sc_001_rrrm_asset_inventory,v2/docs/RRRM1_SAMPLE_MANIFEST_2026-03-12.csv,RRRM-1,documentation,csv,true,790,b0f2fd3126023837c572caff3a177f54854f6d147f54cee76e5b0e6cd05832c2,"legacy evidence for RRRM scope, samples, QC, and task design",review_for_v9_manifest,"safe to cite as inventory evidence, not as a v9 task manifest"
v9_sc_001_rrrm_asset_inventory,v2/docs/RRRM1_SAMPLE_QC_SUMMARY_2026-03-12.csv,RRRM-1,documentation,csv,true,719,12549b4168de5ea2f1fd08ff226224dcc0806f521b843d0a39a97378ba3d39dd,"legacy evidence for RRRM scope, samples, QC, and task design",review_for_v9_manifest,"safe to cite as inventory evidence, not as a v9 task manifest"
v9_sc_001_rrrm_asset_inventory,v2/docs/RRRM1_SRX_CONDITION_MAP.csv,RRRM-1,documentation,csv,true,1716,d59705c2d5abe4bce7142104aa208b0ba6b81c3c09b461dd92fb297a3d0b9e9d,"legacy evidence for RRRM scope, samples, QC, and task design",review_for_v9_manifest,"safe to cite as inventory evidence, not as a v9 task manifest"
v9_sc_001_rrrm_asset_inventory,v2/docs/RRRM1_TISSUE_MARKERS_2026-03-12.md,RRRM-1,documentation,md,true,2966,357d20f3ecd71dda7d84bca8af19bb135b6d4c4d900bd9e33f2d69c15dd5d3d9,"legacy evidence for RRRM scope, samples, QC, and task design",review_for_v9_manifest,"safe to cite as inventory evidence, not as a v9 task manifest"
v9_sc_001_rrrm_asset_inventory,v2/figures/Fig4_scrna_summary.html,RRRM-1,figure,html,true,27627,c0cd2033e1dd6890fed1920ef5024d671da97de7b6ae0bbdc45ba9b890bf9a88,legacy result visualization,reference_only,do not promote as v9 result
v9_sc_001_rrrm_asset_inventory,v2/processed/F1_scrna/i4_snrnaseq_celltype_fgsea.csv,RRRM-1,processed_summary,csv,true,44862,5d6caffc25abe3008abc7210317e39d5976c80af969e78fb1556ae98c585cdb8,legacy processed summary table,evidence_only_no_raw_payload,not a local AnnData payload
v9_sc_001_rrrm_asset_inventory,v2/processed/F1_scrna/i4_snrnaseq_temporal_fgsea.csv,RRRM-1,processed_summary,csv,true,180299,b11321dba0d4b8785d4f82d0daa312866772697088be883620c134115c8fd4e6,legacy processed summary table,evidence_only_no_raw_payload,not a local AnnData payload
v9_sc_001_rrrm_asset_inventory,v2/scripts/__pycache__/rrrm1_broad_annotate.cpython-314.pyc,RRRM-1,generated_cache,pyc,true,12742,fa8f40480e9cb473eec64e10fd6dfecd64b346d37aa4c9b0f06698492c89a4a4,interpreter cache artifact,exclude_from_v9,cache files must not enter v9 artifacts
v9_sc_001_rrrm_asset_inventory,v2/scripts/__pycache__/rrrm1_f2a_composition.cpython-314.pyc,RRRM-1,generated_cache,pyc,true,18616,bae1ab12d4f4e035c1d5dbaebe159c7be6ea8c17ee61071aa4dd32f20f14ccbf,interpreter cache artifact,exclude_from_v9,cache files must not enter v9 artifacts
v9_sc_001_rrrm_asset_inventory,v2/scripts/__pycache__/rrrm1_f2b_pseudobulk_fgsea.cpython-314.pyc,RRRM-1,generated_cache,pyc,true,33957,016c1383709fda0a5ac4e281e0c49e033da3dd4b6353d613c1a454a7033bd765,interpreter cache artifact,exclude_from_v9,cache files must not enter v9 artifacts
v9_sc_001_rrrm_asset_inventory,v2/scripts/__pycache__/rrrm1_f2c_loao_classifier.cpython-314.pyc,RRRM-1,generated_cache,pyc,true,24656,1d6dc365bfca52ab77879f386dac534f7afa17051413cc43858bd078a75a3f15,interpreter cache artifact,exclude_from_v9,cache files must not enter v9 artifacts
v9_sc_001_rrrm_asset_inventory,v2/scripts/__pycache__/rrrm1_f2d_crossspecies.cpython-314.pyc,RRRM-1,generated_cache,pyc,true,32820,57b025161226ad898a50f7563d9bd9ef8d30f8f95e4ca1de2e31cd9c162da0bd,interpreter cache artifact,exclude_from_v9,cache files must not enter v9 artifacts
v9_sc_001_rrrm_asset_inventory,v2/scripts/__pycache__/rrrm1_initial_scanpy.cpython-314.pyc,RRRM-1,generated_cache,pyc,true,12156,c6edeb14f3202ee60411c86c0c81b225f2fded579c14de934d7681e9f862ff6b,interpreter cache artifact,exclude_from_v9,cache files must not enter v9 artifacts
v9_sc_001_rrrm_asset_inventory,v2/scripts/rrrm1_annotation_summary.py,RRRM-1,script,py,true,2677,b2509f6a52cdb170d97b05cfe438fbd49108c6838d0751414fbf7175438a6b81,"legacy conversion, annotation, benchmark, or HPC pipeline code",inspect_before_reuse,requires v9 API/contract review before promotion
v9_sc_001_rrrm_asset_inventory,v2/scripts/rrrm1_broad_annotate.py,RRRM-1,script,py,true,9050,737ade98d9fd085281fbee12c6f278576890103f1590ac87eb4325468cff9f6d,"legacy conversion, annotation, benchmark, or HPC pipeline code",inspect_before_reuse,requires v9 API/contract review before promotion
v9_sc_001_rrrm_asset_inventory,v2/scripts/rrrm1_f2_pipeline_wrapper.sh,RRRM-1,script,sh,true,5453,d49b45a7e12e9d080e79a38885d0813110270efbedc4ffb87dfa923386318b1c,"legacy conversion, annotation, benchmark, or HPC pipeline code",inspect_before_reuse,requires v9 API/contract review before promotion
v9_sc_001_rrrm_asset_inventory,v2/scripts/rrrm1_f2a_composition.py,RRRM-1,script,py,true,12529,594bf70427e211d96add558f55a1aa6c1fc5638ea32391d5119cc402685e439c,"legacy conversion, annotation, benchmark, or HPC pipeline code",inspect_before_reuse,requires v9 API/contract review before promotion
