audit_id,field_id,axis,requirement_status,audit_status,observed_presence,observed_completeness,observed_summary,blocker_if_missing,audit_message
v9_sc_005_rrrm1_blood_obs_var_audit,cell_id,obs,required_before_runnable,skipped_no_local_payload,NA,NA,NA,payload_not_runnable,Canonical AnnData payload is absent; field audit not run.
v9_sc_005_rrrm1_blood_obs_var_audit,sample_id,obs,required_before_runnable,skipped_no_local_payload,NA,NA,NA,payload_not_runnable,Canonical AnnData payload is absent; field audit not run.
v9_sc_005_rrrm1_blood_obs_var_audit,source_id,obs,required_before_runnable,skipped_no_local_payload,NA,NA,NA,payload_not_runnable,Canonical AnnData payload is absent; field audit not run.
v9_sc_005_rrrm1_blood_obs_var_audit,tissue,obs,required_before_runnable,skipped_no_local_payload,NA,NA,NA,payload_not_runnable,Canonical AnnData payload is absent; field audit not run.
v9_sc_005_rrrm1_blood_obs_var_audit,condition,obs,required_before_runnable,skipped_no_local_payload,NA,NA,NA,payload_not_runnable,Canonical AnnData payload is absent; field audit not run.
v9_sc_005_rrrm1_blood_obs_var_audit,flight_ground_label,obs,required_before_runnable,skipped_no_local_payload,NA,NA,NA,payload_not_runnable,Canonical AnnData payload is absent; field audit not run.
v9_sc_005_rrrm1_blood_obs_var_audit,animal_id,obs,required_before_runnable,skipped_no_local_payload,NA,NA,NA,payload_not_runnable,Canonical AnnData payload is absent; field audit not run.
v9_sc_005_rrrm1_blood_obs_var_audit,age_months,obs,required_before_runnable,skipped_no_local_payload,NA,NA,NA,payload_not_runnable,Canonical AnnData payload is absent; field audit not run.
v9_sc_005_rrrm1_blood_obs_var_audit,broad_celltype,obs,required_before_runnable,skipped_no_local_payload,NA,NA,NA,payload_not_runnable,Canonical AnnData payload is absent; field audit not run.
v9_sc_005_rrrm1_blood_obs_var_audit,srx,obs,recommended_audit_field,skipped_no_local_payload,NA,NA,NA,warn_not_block_unless_needed_by_metric,Canonical AnnData payload is absent; field audit not run.
v9_sc_005_rrrm1_blood_obs_var_audit,gsm,obs,recommended_audit_field,skipped_no_local_payload,NA,NA,NA,warn_not_block_unless_needed_by_metric,Canonical AnnData payload is absent; field audit not run.
v9_sc_005_rrrm1_blood_obs_var_audit,cluster_id,obs,recommended_audit_field,skipped_no_local_payload,NA,NA,NA,warn_not_block_unless_needed_by_metric,Canonical AnnData payload is absent; field audit not run.
v9_sc_005_rrrm1_blood_obs_var_audit,n_genes_by_counts,obs,recommended_audit_field,skipped_no_local_payload,NA,NA,NA,warn_not_block_unless_needed_by_metric,Canonical AnnData payload is absent; field audit not run.
v9_sc_005_rrrm1_blood_obs_var_audit,total_counts,obs,recommended_audit_field,skipped_no_local_payload,NA,NA,NA,warn_not_block_unless_needed_by_metric,Canonical AnnData payload is absent; field audit not run.
v9_sc_005_rrrm1_blood_obs_var_audit,pct_counts_mt,obs,recommended_audit_field,skipped_no_local_payload,NA,NA,NA,warn_not_block_unless_needed_by_metric,Canonical AnnData payload is absent; field audit not run.
v9_sc_005_rrrm1_blood_obs_var_audit,gene_symbol,var,required_before_gene_metrics,skipped_no_local_payload,NA,NA,NA,gene_metrics_not_runnable,Canonical AnnData payload is absent; field audit not run.
v9_sc_005_rrrm1_blood_obs_var_audit,feature_id,var,required_before_gene_metrics,skipped_no_local_payload,NA,NA,NA,gene_metrics_not_runnable,Canonical AnnData payload is absent; field audit not run.
v9_sc_005_rrrm1_blood_obs_var_audit,ensembl_id,var,recommended_audit_field,skipped_no_local_payload,NA,NA,NA,warn_not_block,Canonical AnnData payload is absent; field audit not run.
v9_sc_005_rrrm1_blood_obs_var_audit,highly_variable,var,recommended_audit_field,skipped_no_local_payload,NA,NA,NA,warn_not_block,Canonical AnnData payload is absent; field audit not run.
v9_sc_005_rrrm1_blood_obs_var_audit,mitochondrial,var,recommended_audit_field,skipped_no_local_payload,NA,NA,NA,warn_not_block,Canonical AnnData payload is absent; field audit not run.
v9_sc_005_rrrm1_blood_obs_var_audit,spacebio_bench_source_id,uns,required_before_release,skipped_no_local_payload,NA,NA,NA,payload_not_releasable,Canonical AnnData payload is absent; field audit not run.
v9_sc_005_rrrm1_blood_obs_var_audit,spacebio_bench_task_id,uns,required_before_release,skipped_no_local_payload,NA,NA,NA,payload_not_releasable,Canonical AnnData payload is absent; field audit not run.
v9_sc_005_rrrm1_blood_obs_var_audit,preprocessing_summary,uns,required_before_release,skipped_no_local_payload,NA,NA,NA,payload_not_releasable,Canonical AnnData payload is absent; field audit not run.
v9_sc_005_rrrm1_blood_obs_var_audit,annotation_source,uns,required_before_release,skipped_no_local_payload,NA,NA,NA,payload_not_releasable,Canonical AnnData payload is absent; field audit not run.
v9_sc_005_rrrm1_blood_obs_var_audit,X,matrix,required_before_runnable,skipped_no_local_payload,NA,NA,NA,payload_not_runnable,Canonical AnnData payload is absent; field audit not run.
v9_sc_005_rrrm1_blood_obs_var_audit,layers.counts,layers,preferred_before_release,skipped_no_local_payload,NA,NA,NA,release_requires_explicit_matrix_policy,Canonical AnnData payload is absent; field audit not run.
v9_sc_005_rrrm1_blood_obs_var_audit,raw,raw,optional_audit_field,skipped_no_local_payload,NA,NA,NA,no_blocker,Canonical AnnData payload is absent; field audit not run.
