payload_plan_id,field_id,axis,requirement_status,accepted_aliases,validation_rule,required_for,blocker_if_missing
v9_sc_004_rrrm1_blood_payload_staging_plan,cell_id,obs,required_before_runnable,obs_names|barcode|cell_barcode,unique non-empty cell identifiers; if absent derive from obs_names,folds|state_label_metrics|cell_alignment,payload_not_runnable
v9_sc_004_rrrm1_blood_payload_staging_plan,sample_id,obs,required_before_runnable,srx|gsm|source_name,maps each cell to exactly one SRX/GSM sample,folds|state_label_metrics|cell_alignment,payload_not_runnable
v9_sc_004_rrrm1_blood_payload_staging_plan,source_id,obs,required_before_runnable,osd|study_accession,constant OSD-918 for this first payload,folds|state_label_metrics|cell_alignment,payload_not_runnable
v9_sc_004_rrrm1_blood_payload_staging_plan,tissue,obs,required_before_runnable,,constant blood and matches manifest biospecimen_type,folds|state_label_metrics|cell_alignment,payload_not_runnable
v9_sc_004_rrrm1_blood_payload_staging_plan,condition,obs,required_before_runnable,FLT/GC|flight_ground_label,domain must be FLT or GC before label normalization,folds|state_label_metrics|cell_alignment,payload_not_runnable
v9_sc_004_rrrm1_blood_payload_staging_plan,flight_ground_label,obs,required_before_runnable,condition|exp,domain must be Flight or Ground after normalization,folds|state_label_metrics|cell_alignment,payload_not_runnable
v9_sc_004_rrrm1_blood_payload_staging_plan,animal_id,obs,required_before_runnable,,exactly eight animal/source_name groups for RRRM-1 blood,folds|state_label_metrics|cell_alignment,payload_not_runnable
v9_sc_004_rrrm1_blood_payload_staging_plan,age_months,obs,required_before_runnable,,numeric values expected from the condition map,folds|state_label_metrics|cell_alignment,payload_not_runnable
v9_sc_004_rrrm1_blood_payload_staging_plan,broad_celltype,obs,required_before_runnable,predicted.id|celltype|cell_type,non-empty broad label per cell for cell-type diagnostics,folds|state_label_metrics|cell_alignment,payload_not_runnable
v9_sc_004_rrrm1_blood_payload_staging_plan,srx,obs,recommended_audit_field,,"record presence, completeness, and value domain",diagnostics|provenance,warn_not_block_unless_needed_by_metric
v9_sc_004_rrrm1_blood_payload_staging_plan,gsm,obs,recommended_audit_field,,"record presence, completeness, and value domain",diagnostics|provenance,warn_not_block_unless_needed_by_metric
v9_sc_004_rrrm1_blood_payload_staging_plan,cluster_id,obs,recommended_audit_field,,"record presence, completeness, and value domain",diagnostics|provenance,warn_not_block_unless_needed_by_metric
v9_sc_004_rrrm1_blood_payload_staging_plan,n_genes_by_counts,obs,recommended_audit_field,,"record presence, completeness, and value domain",diagnostics|provenance,warn_not_block_unless_needed_by_metric
v9_sc_004_rrrm1_blood_payload_staging_plan,total_counts,obs,recommended_audit_field,,"record presence, completeness, and value domain",diagnostics|provenance,warn_not_block_unless_needed_by_metric
v9_sc_004_rrrm1_blood_payload_staging_plan,pct_counts_mt,obs,recommended_audit_field,,"record presence, completeness, and value domain",diagnostics|provenance,warn_not_block_unless_needed_by_metric
v9_sc_004_rrrm1_blood_payload_staging_plan,gene_symbol,var,required_before_gene_metrics,var_names|gene_ids|gene_symbols,non-empty gene identifiers with stable namespace and duplicate report,DE recovery|expression alignment,gene_metrics_not_runnable
v9_sc_004_rrrm1_blood_payload_staging_plan,feature_id,var,required_before_gene_metrics,var_names|gene_ids|gene_symbols,non-empty gene identifiers with stable namespace and duplicate report,DE recovery|expression alignment,gene_metrics_not_runnable
v9_sc_004_rrrm1_blood_payload_staging_plan,ensembl_id,var,recommended_audit_field,,record presence and completeness,diagnostics|feature namespace review,warn_not_block
v9_sc_004_rrrm1_blood_payload_staging_plan,highly_variable,var,recommended_audit_field,,record presence and completeness,diagnostics|feature namespace review,warn_not_block
v9_sc_004_rrrm1_blood_payload_staging_plan,mitochondrial,var,recommended_audit_field,,record presence and completeness,diagnostics|feature namespace review,warn_not_block
v9_sc_004_rrrm1_blood_payload_staging_plan,spacebio_bench_source_id,uns,required_before_release,,must record v9 task/source/preprocessing/annotation provenance,provenance|release_boundary,payload_not_releasable
v9_sc_004_rrrm1_blood_payload_staging_plan,spacebio_bench_task_id,uns,required_before_release,,must record v9 task/source/preprocessing/annotation provenance,provenance|release_boundary,payload_not_releasable
v9_sc_004_rrrm1_blood_payload_staging_plan,preprocessing_summary,uns,required_before_release,,must record v9 task/source/preprocessing/annotation provenance,provenance|release_boundary,payload_not_releasable
v9_sc_004_rrrm1_blood_payload_staging_plan,annotation_source,uns,required_before_release,,must record v9 task/source/preprocessing/annotation provenance,provenance|release_boundary,payload_not_releasable
v9_sc_004_rrrm1_blood_payload_staging_plan,X,matrix,required_before_runnable,raw.X|layers['counts'],matrix shape matches n_obs x n_vars and finite numeric values,model input|feature alignment,payload_not_runnable
v9_sc_004_rrrm1_blood_payload_staging_plan,layers.counts,layers,preferred_before_release,raw counts|GeneFull filtered counts,record whether integer count layer exists and which layer evaluators use,preprocessing reproducibility,release_requires_explicit_matrix_policy
v9_sc_004_rrrm1_blood_payload_staging_plan,raw,raw,optional_audit_field,,"record presence, shape, and feature namespace if available",diagnostics,no_blocker
